[19:29:10] [INFO] received Windows console close event; shutting log-core down
[21:49:08] [INFO] received Windows console close event; shutting log-core down
[04:30:04] [INFO] received Windows console close event; shutting log-core down
[04:34:28] [INFO] received Windows console close event; shutting log-core down
[04:34:37] [INFO] received Windows console close event; shutting log-core down
[15:40:37] [INFO] received Windows console close event; shutting log-core down
[19:20:52] [INFO] received Windows console close event; shutting log-core down
[20:27:35] [INFO] received Windows console close event; shutting log-core down
[20:39:49] [INFO] received Windows console close event; shutting log-core down
[20:46:15] [INFO] received Windows console close event; shutting log-core down
[20:49:24] [INFO] received Windows console close event; shutting log-core down
[23:27:26] [INFO] received Windows console close event; shutting log-core down
[00:51:14] [INFO] received Windows console close event; shutting log-core down
[20:01:20] [INFO] received Windows console close event; shutting log-core down
[03:06:45] [INFO] received Windows console close event; shutting log-core down
[03:07:55] [INFO] received Windows console close event; shutting log-core down
[03:42:04] [INFO] received Windows console close event; shutting log-core down
[03:48:29] [INFO] received Windows console close event; shutting log-core down
[04:28:20] [INFO] received Windows console close event; shutting log-core down
[04:56:21] [INFO] received Windows console close event; shutting log-core down
[19:58:27] [INFO] received Windows console close event; shutting log-core down
[21:24:57] [INFO] received Windows console close event; shutting log-core down
[22:29:48] [INFO] received Windows console close event; shutting log-core down
[06:05:59] [INFO] received Windows console close event; shutting log-core down
[06:09:22] [INFO] received Windows console close event; shutting log-core down
[06:09:40] [INFO] received Windows console close event; shutting log-core down
[06:29:44] [INFO] received Windows console close event; shutting log-core down
[06:44:22] [INFO] received Windows console close event; shutting log-core down
[17:18:21] [INFO] received Windows console close event; shutting log-core down
[13:57:23] [INFO] received Windows console close event; shutting log-core down
[16:20:18] [INFO] received Windows console close event; shutting log-core down
[20:31:35] [INFO] received Windows console close event; shutting log-core down
[20:31:57] [INFO] received Windows console close event; shutting log-core down
[20:42:23] [INFO] received Windows console close event; shutting log-core down
[20:42:51] [INFO] received Windows console close event; shutting log-core down
[20:44:19] [INFO] received Windows console close event; shutting log-core down
[20:53:57] [INFO] received Windows console close event; shutting log-core down
[08:37:00] [INFO] received Windows console close event; shutting log-core down
[12:09:33] [INFO] received Windows console close event; shutting log-core down
